STATE: Texas
Frequency,Offset,,Tone Up/Down,Location,County,Call,,Use,,,Modes
29.6400,-0.1 MHz,,110.9 / 110.9,Round Rock, St Davids Surgical Hospital,Williamson,WD5EMS,,OPEN,,,FM,,,,
145.2500,-0.6 MHz,,123.0,Minden,Rusk,WB5WIA,,OPEN,,,FM,,,,
145.2500,-0.6 MHz,,167.9 / 167.9,Pasadena,Harris,KD5HKQ,,OPEN,,,FM,,,,
145.2500,-0.6 MHz,,141.3 / 141.3,Sachse,Dallas,N5LOC,,OPEN,,,FM,,,,
145.2500,-0.6 MHz,,162.2 / 162.2,Springtown,Parker,AC5V,,OPEN,,,FM System Fusion,,,,
145.2500,-0.6 MHz,,162.2,Sweetwater,Nolan,KC5NOX,,OPEN,,,FM,,,,
145.2500,-0.6 MHz,,103.5,Weatherford,Parker,W0BOD,,OPEN,,,FM,,,,
145.2700,-0.6 MHz,,110.9 / 110.9,Carlton,Hamilton,W5GKY,,OPEN,,,FM,,,,
145.2700,-0.6 MHz,,162.2,Hondo,Medina,WA5PPI,,OPEN,,,FM,,,,
145.2700,-0.6 MHz,,123.0 / 123.0,Pasadena, El Jardin,Harris,W5PAS,,OPEN,,,FM,,,,
145.2700,-0.6 MHz,,88.5,San Angelo,Tom Green,W5QX,,OPEN,,,FM System Fusion,,,,
145.2700,-0.6 MHz,,,Watauga,Tarrant,K0BRN,,OPEN,,,System Fusion,,,,
145.2700,-0.6 MHz,,136.5,Wills Point,Van Zandt,K5RKW,,OPEN,,,FM,,,,
145.2800,-0.6 MHz,,77.0,Blanco,Blanco,KF5KOI,,OPEN,,,FM System Fusion,,,,
145.2900,-0.6 MHz,,114.8 / 114.8,Burnet,Burnet,KB5YKJ,,OPEN,,,FM,,,,
145.2900,-0.6 MHz,,146.2,Corsicana,Navarro,KD5OXM,,OPEN,,,FM,,,,
145.2900,-0.6 MHz,,100.0,Gainesville,Cooke,K5AGG,,OPEN,,,FM,,,,
145.2900,-0.6 MHz,,162.2 / 162.2,Hondo,Medina,KD5DX,,OPEN,,,FM,,,,
145.2900,-0.6 MHz,,88.5 / 88.5,Iola,Grimes,K5ZY,,OPEN,,,System Fusion,,,,
145.2900,-0.6 MHz,,,Los Fresnos,Cameron,K5RGV,,CLOSED,,,FM,,,,
145.2900,-0.6 MHz,,103.5 / 103.5,Pasadena,Harris,W5PAS,,OPEN,,,FM,,,,
145.2900,-0.6 MHz,,110.9,Port Aransas, The Dunes Condominiums,Nueces,KG5BZ,,OPEN,,,FM,,,,
145.2900,-0.6 MHz,,110.9 / 110.9,Stephenville,Erath,K5DDL,,OPEN,,,FM System Fusion,,,,
145.3000,-0.6 MHz,,146.2,Longview, Lake Cherokee,Gregg,KB5MAR,,OPEN,,,FM,,,,
145.3100,-0.6 MHz,,100.0 / 100.0,Atlanta, Springdale,Cass,WX5FL,,OPEN,,,FM,,,,
145.3100,-0.6 MHz,,D032 / D032,Bandera,Bandera,W5MWI,,OPEN,,,FM System Fusion,,,,
145.3100,-0.6 MHz,,167.9 / 167.9,Baytown,Harris,NE5TX,,OPEN,,,FM,,,,
145.3100,-0.6 MHz,,103.5,Crockett,Houston,W5DLC,,OPEN,,,FM,,,,
145.3100,-0.6 MHz,,123.0 / 123.0,Eddy,Falls,N5ZXJ,,OPEN,,,FM,,,,
